MODEL,REGCOUNT,YEAR
C0844S100,1,2018
FFRC0833R1,287,2018
FGAC7044U1,3,2018
FGAC7044U100,1060,2018
FGAC7044U101,34,2018
FGAC7044U1E00,202,2018
FGPC1044U100,10,2018
FGPC1044U1E00,44,2018
FGPC1244T10,1,2018
FGPC1244T100,1355,2018
FGPC1244T101,571,2018
FGPC1244T1A00,133,2018
FGPC1244T1E00,939,2018
FGPC1244t100,34,2018
FGRC0644U100,2291,2018
FGRC0644U1E00,680,2018
FGRC0844S1,4804,2018
FGRC0844S100,1420,2018
FGRC0844U00,1,2018
FGRC0844U100,4405,2018
FGRC0844U1E00,1019,2018
FGRC1044T1,511,2018
FGRC1044T100,3034,2018
FGRC1044T101,106,2018
FGRC1044T1E00,619,2018
FGRC1244T1,482,2018
FGRC1244T100,1867,2018
FGRC1244T101,958,2018
FGRC1244T1E00,357,2018
FGVH2177TF0,8,2018
fgpc1244t100,5,2018
