MODEL,REGCOUNT,YEAR
C0844S100,1,2018
FFRC0833R1,300,2018
FGAC7044U1,5,2018
FGAC7044U100,1600,2018
FGAC7044U101,138,2018
FGAC7044U1E00,365,2018
FGPC1044U100,12,2018
FGPC1044U1E00,47,2018
FGPC1244T100,1442,2018
FGPC1244T101,586,2018
FGPC1244T1A00,133,2018
FGPC1244T1E00,952,2018
FGPC1244t100,37,2018
FGRC0644U100,2347,2018
FGRC0644U1E00,782,2018
FGRC0844S1,4984,2018
FGRC0844S100,1452,2018
FGRC0844ST,1,2018
FGRC0844U00,1,2018
FGRC0844U100,4817,2018
FGRC0844U1E00,1085,2018
FGRC1044T1,544,2018
FGRC1044T100,3316,2018
FGRC1044T101,115,2018
FGRC1044T1E00,627,2018
FGRC1244T1,488,2018
FGRC1244T100,1926,2018
FGRC1244T101,995,2018
FGRC1244T1E00,407,2018
FGVH2177TF0,8,2018
fgpc1244t100,8,2018
